SearchAgent,Level,Score,Cost,Time,NodesExpanded,ProblemType,Heuristic
DFS,bigCorners,238,302,0.4,504,FoodSearchProblem,None
BFS,bigCorners,378,162,6.7,7949,FoodSearchProblem,None
UCS,bigCorners,378,162,8.8,7949,FoodSearchProblem,None
GS,bigCorners,198,342,7.2,5057,FoodSearchProblem,foodHeuristic
A*,bigCorners,378,162,7.2,4380,FoodSearchProblem,foodHeuristic
DFS,greedySearch,572,58,0.0,58,FoodSearchProblem,None
BFS,greedySearch,614,16,0.0,692,FoodSearchProblem,None
UCS,greedySearch,614,16,0.1,692,FoodSearchProblem,None
GS,greedySearch,608,22,0.0,441,FoodSearchProblem,foodHeuristic
A*,greedySearch,614,16,0.0,189,FoodSearchProblem,foodHeuristic
DFS,mediumCorners,319,221,0.1,371,FoodSearchProblem,None
BFS,mediumCorners,434,106,0.4,1966,FoodSearchProblem,None
UCS,mediumCorners,434,106,0.9,1966,FoodSearchProblem,None
GS,mediumCorners,426,114,0.8,1417,FoodSearchProblem,foodHeuristic
A*,mediumCorners,434,106,0.6,1136,FoodSearchProblem,foodHeuristic

DFS,mediumDottedMaze,-1930,2650,0.9,2870,FoodSearchProblem,None
BFS,mediumDottedMaze,646,74,1.2,3696,FoodSearchProblem,None
UCS,mediumDottedMaze,646,74,1.8,3696,FoodSearchProblem,None
GS,mediumDottedMaze,646,74,0.1,114,FoodSearchProblem,foodHeuristic
A*,mediumDottedMaze,646,74,0.4,608,FoodSearchProblem,foodHeuristic


DFS,smallSafeSearch,506,44,0.0,63,FoodSearchProblem,None
BFS,smallSafeSearch,506,44,0.0,72,FoodSearchProblem,None
UCS,smallSafeSearch,506,44,0.0,72,FoodSearchProblem,None
GS,smallSafeSearch,506,44,0.0,44,FoodSearchProblem,foodHeuristic
A*,smallSafeSearch,506,44,0.0,66,FoodSearchProblem,foodHeuristic
DFS,smallSafeSearch,548,32,0.0,80,FoodSearchProblem,None
BFS,testClassic,564,16,0.1,2598,FoodSearchProblem,None
UCS,testClassic,564,16,2.0,2598,FoodSearchProblem,None
GS,testClassic,564,16,0.1,496,FoodSearchProblem,foodHeuristic
A*,testClassic,564,16,0.3,702,FoodSearchProblem,foodHeuristic
DFS,tinySearch,559,41,0.0,59,FoodSearchProblem,None
BFS,tinySearch,573,27,0.3,5057,FoodSearchProblem,None
UCS,tinySearch,573,27,2.1,5057,FoodSearchProblem,None
GS,tinySearch,563,37,1.0,3901,FoodSearchProblem,foodHeuristic
A*,tinySearch,573,27,1.0,2468,FoodSearchProblem,foodHeuristic
DFS,trickySearch,414,216,0.0,361,FoodSearchProblem,None
BFS,trickySearch,570,60,2.1,16688,FoodSearchProblem,None
UCS,trickySearch,570,60,10.6,16688,FoodSearchProblem,None
GS,trickySearch,529,101,2.3,6848,FoodSearchProblem,foodHeuristic
A*,trickySearch,570,60,4.5,9551,FoodSearchProblem,foodHeuristic
