SearchAgent,Level,Score,Cost,Time,NodesExpanded,ProblemType,Heuristic
DFS,bigMaze,300,210,0.0,390,PositionSearchProblem,None
BFS,bigMaze,300,210,0.0,620,PositionSearchProblem,None
UCS,bigMaze,300,210,0.2,620,PositionSearchProblem,None
GS,bigMaze,300,210,0.0,471,PositionSearchProblem,euclideanHeuristic
GS,bigMaze,300,210,0.0,466,PositionSearchProblem,manhattanHeuristic
A*,bigMaze,300,210,0.1,557,PositionSearchProblem,euclideanHeuristic
A*,bigMaze,300,210,0.2,549,PositionSearchProblem,manhattanHeuristic
DFS,contoursMaze,425,85,0.0,85,PositionSearchProblem,None
BFS,contoursMaze,497,13,0.0,170,PositionSearchProblem,None
UCS,contoursMaze,497,13,0.0,170,PositionSearchProblem,None
GS,contoursMaze,497,13,0.0,13,PositionSearchProblem,euclideanHeuristic
GS,contoursMaze,497,13,0.0,13,PositionSearchProblem,manhattanHeuristic
A*,contoursMaze,497,13,0.0,60,PositionSearchProblem,euclideanHeuristic
A*,contoursMaze,497,13,0.0,49,PositionSearchProblem,manhattanHeuristic
DFS,mediumMaze,380,130,0.0,146,PositionSearchProblem,None
BFS,mediumMaze,442,68,0.0,269,PositionSearchProblem,None
UCS,mediumMaze,442,68,0.0,269,PositionSearchProblem,None
GS,mediumMaze,358,152,0.0,159,PositionSearchProblem,euclideanHeuristic
GS,mediumMaze,436,74,0.0,78,PositionSearchProblem,manhattanHeuristic
A*,mediumMaze,442,68,0.0,226,PositionSearchProblem,euclideanHeuristic
A*,mediumMaze,442,68,0.0,221,PositionSearchProblem,manhattanHeuristic
DFS,openMaze,212,298,0.0,576,PositionSearchProblem,None
BFS,openMaze,456,54,0.0,682,PositionSearchProblem,None
UCS,openMaze,456,54,0.1,682,PositionSearchProblem,None
GS,openMaze,456,54,0.0,54,PositionSearchProblem,euclideanHeuristic
GS,openMaze,442,68,0.0,89,PositionSearchProblem,manhattanHeuristic
A*,openMaze,456,54,0.1,550,PositionSearchProblem,euclideanHeuristic
A*,openMaze,456,54,0.2,535,PositionSearchProblem,manhattanHeuristic
